City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margate,51.3813,1.3862,6.06,84,3,0.89,GB,1675725866
1,russell,32.3502,-85.1999,18.78,39,0,0.0,US,1675725867
2,shellbrook,53.2168,-106.4011,-0.43,86,47,3.44,CA,1675725842
3,krasnoarmeysk,51.0239,45.6969,-17.08,98,64,3.42,RU,1675725868
4,arraial do cabo,-22.9661,-42.0278,25.92,83,75,2.57,BR,1675725868
5,castro,-24.7911,-50.0119,20.13,64,58,1.11,BR,1675725868
6,lanivtsi,49.8633,26.0908,-6.2,86,99,4.07,UA,1675725869
7,cabo san lucas,22.8909,-109.9124,27.56,47,0,6.17,MX,1675725794
8,los llanos de aridane,28.6585,-17.9182,13.86,70,75,4.47,ES,1675725869
9,mataura,-46.1927,168.8643,17.39,64,70,3.94,NZ,1675725870
10,bredasdorp,-34.5322,20.0403,20.67,93,68,1.32,ZA,1675725870
11,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1675725702
12,husavik,66.0449,-17.3389,-1.37,62,66,10.21,IS,1675725166
13,tiksi,71.6872,128.8694,-35.35,100,89,2.11,RU,1675725295
14,ushuaia,-54.8,-68.3,10.81,87,100,6.69,AR,1675725775
15,provideniya,64.3833,-173.3,-16.94,66,100,6.0,RU,1675725871
16,carnarvon,-24.8667,113.6333,24.39,67,0,8.82,AU,1675725871
17,sinaloa,25.0,-107.5,28.39,27,2,3.58,MX,1675725872
18,okhotsk,59.3833,143.3,-23.64,79,100,5.3,RU,1675725872
19,valle de allende,26.9333,-105.4,25.28,10,71,11.45,MX,1675725693
20,balykshi,47.0667,51.8667,-4.0,93,100,9.0,KZ,1675725872
21,atuona,-9.8,-139.0333,25.84,76,14,5.62,PF,1675725873
22,olafsvik,64.8945,-23.7142,-0.5,65,100,16.58,IS,1675725350
23,carauari,-4.8828,-66.8958,24.06,94,58,0.38,BR,1675725873
24,urubicha,-15.3833,-62.95,22.65,95,100,1.33,BO,1675725295
25,yellowknife,62.456,-114.3525,-20.71,77,75,3.6,CA,1675725721
26,santa marta,11.2408,-74.199,25.53,82,5,8.12,CO,1675725670
27,khatanga,71.9667,102.5,-40.82,100,56,1.38,RU,1675725829
28,vertientes,21.2594,-78.1464,26.34,55,14,7.5,CU,1675725874
29,torbay,47.6666,-52.7314,1.27,95,100,2.68,CA,1675725874
30,hithadhoo,-0.6,73.0833,27.37,70,77,5.05,MV,1675725875
